NU_ID;NU_NR;HH021;HH071_1;HH071_2;HH071_3;HH071_4;ADR_KEITE
10119100.0;101191.0;1.0;2.0;;;;NE
20267200.0;202672.0;1.0;2.0;;;;NE
10290500.0;102905.0;5.0;2.0;;;;NE
40270500.0;402705.0;1.0;2.0;;;;NE
40061700.0;400617.0;1.0;2.0;;;;NE
20153100.0;201531.0;1.0;2.0;;;;NE
40349200.0;403492.0;1.0;2.0;;;;NE
40059100.0;400591.0;1.0;2.0;;;;NE
20066500.0;200665.0;1.0;2.0;;;;NE
10246000.0;102460.0;1.0;2.0;;;;NE
10002700.0;100027.0;2.0;1.0;150.0;;12.0;NE
40082100.0;400821.0;1.0;2.0;;;;NE
30203200.0;302032.0;1.0;2.0;;;;NE
10024600.0;100246.0;1.0;2.0;;;;NE
40076100.0;400761.0;1.0;2.0;;;;NE
10224400.0;102244.0;1.0;2.0;;;;NE
20168300.0;201683.0;1.0;2.0;;;;NE
30310400.0;303104.0;1.0;2.0;;;;NE
10201000.0;102010.0;3.0;2.0;;;;NE
30279400.0;302794.0;1.0;2.0;;;;NE
10031300.0;100313.0;1.0;2.0;;;;NE
40323700.0;403237.0;1.0;2.0;;;;NE
20306600.0;203066.0;2.0;1.0;53.0;;12.0;NE
30148100.0;301481.0;1.0;2.0;;;;NE
20310100.0;203101.0;1.0;2.0;;;;NE
40154300.0;401543.0;1.0;2.0;;;;NE
20243300.0;202433.0;1.0;2.0;;;;NE
20081100.0;200811.0;2.0;1.0;;2.0;12.0;NE
30211400.0;302114.0;3.0;2.0;;;;NE
30002000.0;300020.0;1.0;2.0;;;;NE
20334300.0;203343.0;1.0;2.0;;;;NE
10317600.0;103176.0;2.0;1.0;300.0;;12.0;NE
30147000.0;301470.0;1.0;2.0;;;;NE
30160900.0;301609.0;1.0;2.0;;;;NE
40046600.0;400466.0;1.0;2.0;;;;NE
20259800.0;202598.0;1.0;2.0;;;;NE
40196000.0;401960.0;1.0;2.0;;;;NE
10092600.0;100926.0;1.0;2.0;;;;NE
40164800.0;401648.0;1.0;2.0;;;;NE
30195800.0;301958.0;1.0;2.0;;;;NE
10042600.0;100426.0;1.0;2.0;;;;NE
40311300.0;403113.0;1.0;2.0;;;;NE
40257600.0;402576.0;1.0;2.0;;;;NE
20158300.0;201583.0;1.0;2.0;;;;NE
20077300.0;200773.0;1.0;2.0;;;;NE
20265000.0;202650.0;1.0;2.0;;;;NE
20258700.0;202587.0;1.0;2.0;;;;NE
10012100.0;100121.0;1.0;2.0;;;;NE
40265700.0;402657.0;1.0;2.0;;;;NE
40341200.0;403412.0;1.0;2.0;;;;NE
40295600.0;402956.0;1.0;2.0;;;;NE
40324700.0;403247.0;1.0;2.0;;;;NE
30156700.0;301567.0;1.0;2.0;;;;NE
10219200.0;102192.0;1.0;2.0;;;;NE
40247900.0;402479.0;1.0;2.0;;;;NE
30255200.0;302552.0;1.0;2.0;;;;NE
20241900.0;202419.0;1.0;2.0;;;;NE
30027100.0;300271.0;1.0;2.0;;;;NE
10075300.0;100753.0;2.0;1.0;;11.0;12.0;NE
40197400.0;401974.0;1.0;2.0;;;;NE
40108300.0;401083.0;1.0;2.0;;;;NE
10125200.0;101252.0;1.0;2.0;;;;NE
10195300.0;101953.0;1.0;2.0;;;;NE
40293400.0;402934.0;1.0;2.0;;;;NE
40343500.0;403435.0;1.0;2.0;;;;NE
20156400.0;201564.0;1.0;2.0;;;;NE
40210300.0;402103.0;1.0;2.0;;;;NE
10296200.0;102962.0;2.0;1.0;;3.0;12.0;NE
20207000.0;202070.0;3.0;2.0;;;;NE
30308000.0;303080.0;1.0;2.0;;;;NE
20298300.0;202983.0;1.0;2.0;;;;NE
20335900.0;203359.0;5.0;2.0;;;;NE
40026100.0;400261.0;5.0;2.0;;;;NE
20181400.0;201814.0;1.0;2.0;;;;NE
30057600.0;300576.0;1.0;2.0;;;;NE
10082200.0;100822.0;1.0;2.0;;;;NE
20147500.0;201475.0;1.0;2.0;;;;NE
20284200.0;202842.0;1.0;2.0;;;;NE
40235800.0;402358.0;1.0;2.0;;;;NE
20065200.0;200652.0;1.0;2.0;;;;NE
10339100.0;103391.0;1.0;2.0;;;;NE
40075400.0;400754.0;2.0;1.0;175.0;;10.0;NE
20261000.0;202610.0;1.0;2.0;;;;NE
20151900.0;201519.0;1.0;2.0;;;;NE
10268900.0;102689.0;1.0;2.0;;;;NE
30107000.0;301070.0;1.0;2.0;;;;NE
20180300.0;201803.0;1.0;2.0;;;;NE
